src,tar,src_type,tar_type
_073303_,_073303_/Y,cell,pin
_073304_/A,_073304_,pin,cell
_073304_,_073304_/Y,cell,pin
_073305_/A,_073305_,pin,cell
_073305_,_073305_/Y,cell,pin
_073306_/A,_073306_,pin,cell
_073306_,_073306_/Y,cell,pin
_073307_/A,_073307_,pin,cell
_073307_,_073307_/Y,cell,pin
_073308_/A,_073308_,pin,cell
_073308_,_073308_/Y,cell,pin
_073309_/A,_073309_,pin,cell
_073309_,_073309_/Y,cell,pin
_073310_/A,_073310_,pin,cell
_073310_,_073310_/Y,cell,pin
_073311_/A,_073311_,pin,cell
_073311_,_073311_/Y,cell,pin
_073312_/A,_073312_,pin,cell
_073312_,_073312_/Y,cell,pin
_073313_/A,_073313_,pin,cell
_073313_,_073313_/Y,cell,pin
_073314_/A,_073314_,pin,cell
_073314_,_073314_/Y,cell,pin
_073315_/A,_073315_,pin,cell
_073315_,_073315_/Y,cell,pin
_073316_/A,_073316_,pin,cell
_073316_,_073316_/Y,cell,pin
_073317_/A,_073317_,pin,cell
_073317_,_073317_/Y,cell,pin
_073318_/A,_073318_,pin,cell
_073318_,_073318_/Y,cell,pin
_073319_/A,_073319_,pin,cell
_073319_,_073319_/Y,cell,pin
_073320_/A,_073320_,pin,cell
_073320_,_073320_/Y,cell,pin
_073321_/A,_073321_,pin,cell
_073321_,_073321_/Y,cell,pin
_073322_/A,_073322_,pin,cell
_073322_,_073322_/Y,cell,pin
_073323_/A,_073323_,pin,cell
_073323_,_073323_/Y,cell,pin
_073324_/A,_073324_,pin,cell
_073324_,_073324_/Y,cell,pin
_073325_/A,_073325_,pin,cell
_073325_,_073325_/Y,cell,pin
_073326_/A,_073326_,pin,cell
_073326_,_073326_/Y,cell,pin
_073327_/A,_073327_,pin,cell
_073327_,_073327_/Y,cell,pin
_073328_/A,_073328_,pin,cell
_073328_,_073328_/Y,cell,pin
_073329_/A,_073329_,pin,cell
_073329_,_073329_/Y,cell,pin
_073330_/A,_073330_,pin,cell
_073330_,_073330_/Y,cell,pin
_073331_/A,_073331_,pin,cell
_073331_,_073331_/Y,cell,pin
_073332_/A,_073332_,pin,cell
_073332_,_073332_/Y,cell,pin
_073333_/A,_073333_,pin,cell
_073333_,_073333_/Y,cell,pin
_073334_/A,_073334_,pin,cell
_073334_,_073334_/Y,cell,pin
_073335_/A,_073335_,pin,cell
_073335_,_073335_/Y,cell,pin
_073336_/A,_073336_,pin,cell
_073336_,_073336_/Y,cell,pin
_073337_/A,_073337_,pin,cell
_073337_,_073337_/Y,cell,pin
_073338_/A,_073338_,pin,cell
_073338_,_073338_/Y,cell,pin
_073339_/A,_073339_,pin,cell
_073339_,_073339_/Y,cell,pin
_073340_/A,_073340_,pin,cell
_073340_,_073340_/Y,cell,pin
_073341_/A,_073341_,pin,cell
_073341_,_073341_/Y,cell,pin
_073342_/A,_073342_,pin,cell
_073342_,_073342_/Y,cell,pin
_073343_/A,_073343_,pin,cell
_073343_,_073343_/Y,cell,pin
_073344_/A,_073344_,pin,cell
_073344_,_073344_/Y,cell,pin
_073345_/A,_073345_,pin,cell
_073345_,_073345_/Y,cell,pin
_073346_/A,_073346_,pin,cell
_073346_,_073346_/Y,cell,pin
_073347_/A,_073347_,pin,cell
_073347_,_073347_/Y,cell,pin
_073348_/A,_073348_,pin,cell
_073348_,_073348_/Y,cell,pin
_073349_/A,_073349_,pin,cell
_073349_,_073349_/Y,cell,pin
_073350_/A,_073350_,pin,cell
_073350_,_073350_/Y,cell,pin
_073351_/A,_073351_,pin,cell
_073351_,_073351_/Y,cell,pin
_073352_/A,_073352_,pin,cell
_073352_,_073352_/Y,cell,pin
_073353_/A,_073353_,pin,cell
_073353_,_073353_/Y,cell,pin
_073354_/A,_073354_,pin,cell
_073354_,_073354_/Y,cell,pin
_073355_/A,_073355_,pin,cell
_073355_,_073355_/Y,cell,pin
_073356_/A,_073356_,pin,cell
_073356_,_073356_/Y,cell,pin
_073357_/A,_073357_,pin,cell
_073357_,_073357_/Y,cell,pin
_073358_/A,_073358_,pin,cell
_073358_,_073358_/Y,cell,pin
_073359_/A,_073359_,pin,cell
_073359_,_073359_/Y,cell,pin
_073360_/A,_073360_,pin,cell
_073360_,_073360_/Y,cell,pin
_073361_/A,_073361_,pin,cell
_073361_,_073361_/Y,cell,pin
_073362_/A,_073362_,pin,cell
_073362_,_073362_/Y,cell,pin
_073363_/A,_073363_,pin,cell
_073363_,_073363_/Y,cell,pin
_073364_/A,_073364_,pin,cell
_073364_,_073364_/Y,cell,pin
_073365_/A,_073365_,pin,cell
_073365_,_073365_/Y,cell,pin
_073366_/A,_073366_,pin,cell
_073366_,_073366_/Y,cell,pin
_073367_/A,_073367_,pin,cell
_073367_,_073367_/Y,cell,pin
