src,tar,src_type,tar_type
_083306_/A3,_083306_,pin,cell
_083306_,_083306_/ZN,cell,pin
_083307_/A1,_083307_,pin,cell
_083307_/A2,_083307_,pin,cell
_083307_/B1,_083307_,pin,cell
_083307_/B2,_083307_,pin,cell
_083307_,_083307_/ZN,cell,pin
_083308_/A1,_083308_,pin,cell
_083308_/A2,_083308_,pin,cell
_083308_/A3,_083308_,pin,cell
_083308_,_083308_/ZN,cell,pin
_083309_/A1,_083309_,pin,cell
_083309_/A2,_083309_,pin,cell
_083309_/A3,_083309_,pin,cell
_083309_/A4,_083309_,pin,cell
_083309_,_083309_/ZN,cell,pin
_083310_/A1,_083310_,pin,cell
_083310_/A2,_083310_,pin,cell
_083310_/A3,_083310_,pin,cell
_083310_,_083310_/ZN,cell,pin
_083311_/A,_083311_,pin,cell
_083311_/B,_083311_,pin,cell
_083311_/C1,_083311_,pin,cell
_083311_/C2,_083311_,pin,cell
_083311_,_083311_/ZN,cell,pin
_083312_/A1,_083312_,pin,cell
_083312_/A2,_083312_,pin,cell
_083312_/A3,_083312_,pin,cell
_083312_,_083312_/ZN,cell,pin
_083313_/A1,_083313_,pin,cell
