src,tar,src_type,tar_type
_079381_/A1,_079381_,pin,cell
_079381_/A2,_079381_,pin,cell
_079381_,_079381_/ZN,cell,pin
_079382_/A1,_079382_,pin,cell
_079382_/A2,_079382_,pin,cell
_079382_,_079382_/ZN,cell,pin
_079383_/A,_079383_,pin,cell
_079383_,_079383_/ZN,cell,pin
_079384_/A,_079384_,pin,cell
_079384_,_079384_/Z,cell,pin
_079385_/A,_079385_,pin,cell
_079385_,_079385_/Z,cell,pin
_079386_/A1,_079386_,pin,cell
_079386_/A2,_079386_,pin,cell
_079386_,_079386_/ZN,cell,pin
_079387_/A,_079387_,pin,cell
_079387_,_079387_/ZN,cell,pin
_079388_/A,_079388_,pin,cell
_079388_,_079388_/Z,cell,pin
_079389_/A,_079389_,pin,cell
_079389_,_079389_/Z,cell,pin
_079390_/A1,_079390_,pin,cell
_079390_/A2,_079390_,pin,cell
_079390_,_079390_/ZN,cell,pin
_079391_/A,_079391_,pin,cell
_079391_,_079391_/ZN,cell,pin
_079392_/A,_079392_,pin,cell
_079392_,_079392_/Z,cell,pin
_079393_/A1,_079393_,pin,cell
_079393_/A2,_079393_,pin,cell
_079393_,_079393_/ZN,cell,pin
_079394_/A,_079394_,pin,cell
_079394_,_079394_/ZN,cell,pin
_079395_/A,_079395_,pin,cell
_079395_,_079395_/ZN,cell,pin
_079396_/A,_079396_,pin,cell
_079396_,_079396_/ZN,cell,pin
_079397_/A,_079397_,pin,cell
_079397_,_079397_/ZN,cell,pin
_079398_/A,_079398_,pin,cell
_079398_,_079398_/ZN,cell,pin
_079399_/A,_079399_,pin,cell
_079399_,_079399_/Z,cell,pin
_079400_/A1,_079400_,pin,cell
_079400_/A2,_079400_,pin,cell
_079400_,_079400_/ZN,cell,pin
_079401_/A,_079401_,pin,cell
_079401_,_079401_/ZN,cell,pin
_079402_/A,_079402_,pin,cell
_079402_,_079402_/Z,cell,pin
_079403_/A1,_079403_,pin,cell
_079403_/A2,_079403_,pin,cell
_079403_,_079403_/ZN,cell,pin
_079404_/A,_079404_,pin,cell
_079404_,_079404_/ZN,cell,pin
_079405_/A1,_079405_,pin,cell
_079405_/A2,_079405_,pin,cell
_079405_,_079405_/ZN,cell,pin
_079406_/A1,_079406_,pin,cell
_079406_/A2,_079406_,pin,cell
_079406_,_079406_/ZN,cell,pin
_079407_/A,_079407_,pin,cell
_079407_,_079407_/ZN,cell,pin
_079408_/A,_079408_,pin,cell
_079408_,_079408_/Z,cell,pin
_079409_/A1,_079409_,pin,cell
_079409_/A2,_079409_,pin,cell
_079409_,_079409_/ZN,cell,pin
_079410_/A,_079410_,pin,cell
_079410_,_079410_/ZN,cell,pin
_079411_/A1,_079411_,pin,cell
_079411_/A2,_079411_,pin,cell
_079411_,_079411_/ZN,cell,pin
_079412_/A,_079412_,pin,cell
_079412_,_079412_/Z,cell,pin
_079413_/A1,_079413_,pin,cell
_079413_/A2,_079413_,pin,cell
_079413_,_079413_/ZN,cell,pin
_079414_/A,_079414_,pin,cell
_079414_,_079414_/ZN,cell,pin
_079415_/A1,_079415_,pin,cell
_079415_/A2,_079415_,pin,cell
_079415_,_079415_/ZN,cell,pin
_079416_/A,_079416_,pin,cell
_079416_,_079416_/ZN,cell,pin
_079417_/A1,_079417_,pin,cell
_079417_/A2,_079417_,pin,cell
_079417_,_079417_/ZN,cell,pin
_079418_/A,_079418_,pin,cell
_079418_,_079418_/ZN,cell,pin
_079419_/A1,_079419_,pin,cell
_079419_/A2,_079419_,pin,cell
_079419_,_079419_/ZN,cell,pin
_079420_/A,_079420_,pin,cell
_079420_,_079420_/ZN,cell,pin
_079421_/A1,_079421_,pin,cell
_079421_/A2,_079421_,pin,cell
_079421_,_079421_/ZN,cell,pin
_079422_/A,_079422_,pin,cell
_079422_,_079422_/ZN,cell,pin
_079423_/A1,_079423_,pin,cell
_079423_/A2,_079423_,pin,cell
_079423_,_079423_/ZN,cell,pin
_079424_/A,_079424_,pin,cell
_079424_,_079424_/ZN,cell,pin
_079425_/A1,_079425_,pin,cell
_079425_/A2,_079425_,pin,cell
_079425_,_079425_/ZN,cell,pin
_079426_/A,_079426_,pin,cell
_079426_,_079426_/ZN,cell,pin
_079427_/A1,_079427_,pin,cell
_079427_/A2,_079427_,pin,cell
_079427_,_079427_/ZN,cell,pin
_079428_/A,_079428_,pin,cell
_079428_,_079428_/Z,cell,pin
_079429_/A1,_079429_,pin,cell
_079429_/A2,_079429_,pin,cell
_079429_,_079429_/ZN,cell,pin
_079430_/A,_079430_,pin,cell
_079430_,_079430_/ZN,cell,pin
_079431_/A1,_079431_,pin,cell
_079431_/A2,_079431_,pin,cell
_079431_,_079431_/ZN,cell,pin
_079432_/A,_079432_,pin,cell
_079432_,_079432_/Z,cell,pin
_079433_/A1,_079433_,pin,cell
_079433_/A2,_079433_,pin,cell
_079433_,_079433_/ZN,cell,pin
_079434_/A,_079434_,pin,cell
_079434_,_079434_/Z,cell,pin
_079435_/A1,_079435_,pin,cell
_079435_/A2,_079435_,pin,cell
_079435_,_079435_/ZN,cell,pin
_079436_/A,_079436_,pin,cell
_079436_,_079436_/ZN,cell,pin
_079437_/A1,_079437_,pin,cell
_079437_/A2,_079437_,pin,cell
_079437_,_079437_/ZN,cell,pin
_079438_/A,_079438_,pin,cell
_079438_,_079438_/Z,cell,pin
_079439_/A1,_079439_,pin,cell
_079439_/A2,_079439_,pin,cell
_079439_,_079439_/ZN,cell,pin
_079440_/A,_079440_,pin,cell
_079440_,_079440_/ZN,cell,pin
_079441_/A,_079441_,pin,cell
_079441_,_079441_/Z,cell,pin
_079442_/A,_079442_,pin,cell
_079442_,_079442_/Z,cell,pin
_079443_/A,_079443_,pin,cell
_079443_,_079443_/Z,cell,pin
_079444_/A1,_079444_,pin,cell
_079444_/A2,_079444_,pin,cell
_079444_,_079444_/ZN,cell,pin
_079445_/A1,_079445_,pin,cell
_079445_/A2,_079445_,pin,cell
_079445_,_079445_/ZN,cell,pin
_079446_/A,_079446_,pin,cell
_079446_,_079446_/ZN,cell,pin
_079447_/A1,_079447_,pin,cell
_079447_/A2,_079447_,pin,cell
_079447_,_079447_/ZN,cell,pin
_079448_/A,_079448_,pin,cell
_079448_,_079448_/ZN,cell,pin
_079449_/A1,_079449_,pin,cell
_079449_/A2,_079449_,pin,cell
_079449_,_079449_/ZN,cell,pin
_079450_/A,_079450_,pin,cell
_079450_,_079450_/ZN,cell,pin
_079451_/A,_079451_,pin,cell
_079451_,_079451_/ZN,cell,pin
_079452_/A1,_079452_,pin,cell
_079452_/A2,_079452_,pin,cell
_079452_,_079452_/ZN,cell,pin
_079453_/A,_079453_,pin,cell
_079453_,_079453_/ZN,cell,pin
_079454_/A1,_079454_,pin,cell
_079454_/A2,_079454_,pin,cell
_079454_,_079454_/ZN,cell,pin
_079455_/A1,_079455_,pin,cell
_079455_/A2,_079455_,pin,cell
_079455_,_079455_/ZN,cell,pin
_079456_/A,_079456_,pin,cell
