pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
dp.rf.rf\[31\]\[18\]$_DFFE_PP_/Q,272073,6973,0,-1,0,0,1,1.6205798909849772e-13,1.4979509854740058e-09,0,dp.rf.rf\[31\]\[18\]$_DFFE_PP_,dp.rf.rf\[31\]\[18\],8.971169640492604e-11,-5.650290013647918e-09,1.1323321169598444e-09,1.108123037774078e-09,-1
dp.rf.rf\[31\]\[18\]$_DFFE_PP_/CLK,265225,6860,1,-1,1,0,0,0.0,1.4999999020659516e-09,0,dp.rf.rf\[31\]\[18\]$_DFFE_PP_,clknet_leaf_68_clk,5.772557432059955e-11,-5.650290013647918e-09,7.902090093381275e-10,7.18795023502139e-10,1.8770000236435855e-15
dp.rf.rf\[31\]\[19\]$_DFFE_PP_/D,52110,194310,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,dp.rf.rf\[31\]\[19\]$_DFFE_PP_,_00781_,1.0967110553039561e-10,-5.967359939518246e-09,6.8670811259607945e-09,7.1737695783724575e-09,1.6809999877807295e-15
dp.rf.rf\[31\]\[19\]$_DFFE_PP_/Q,57713,194306,0,-1,0,0,1,1.6205798909849772e-13,1.4979509854740058e-09,0,dp.rf.rf\[31\]\[19\]$_DFFE_PP_,dp.rf.rf\[31\]\[19\],9.340874601582172e-11,-5.67821611952013e-09,1.0710885511855395e-09,1.0458481858321989e-09,-1
dp.rf.rf\[31\]\[19\]$_DFFE_PP_/CLK,50865,194420,1,-1,1,0,0,0.0,1.4999999020659516e-09,0,dp.rf.rf\[31\]\[19\]$_DFFE_PP_,clknet_leaf_19_clk,5.346115217186309e-11,-5.67821611952013e-09,7.277136671035578e-10,6.771843641395492e-10,1.8770000236435855e-15
dp.rf.rf\[31\]\[1\]$_DFFE_PP_/D,161130,145350,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,dp.rf.rf\[31\]\[1\]$_DFFE_PP_,_00782_,1.8702348003607483e-10,-5.2937769723371275e-09,6.195877588766052e-09,6.135832286702225e-09,1.6809999877807295e-15
dp.rf.rf\[31\]\[1\]$_DFFE_PP_/Q,166733,145346,0,-1,0,0,1,1.6205798909849772e-13,1.4979509854740058e-09,0,dp.rf.rf\[31\]\[1\]$_DFFE_PP_,dp.rf.rf\[31\]\[1\],1.1287885209876336e-10,-7.090350084837382e-09,1.1106684461026362e-09,1.0794742877351382e-09,-1
dp.rf.rf\[31\]\[1\]$_DFFE_PP_/CLK,159885,145460,1,-1,1,0,0,0.0,1.4999999020659516e-09,0,dp.rf.rf\[31\]\[1\]$_DFFE_PP_,clknet_leaf_10_clk,6.148914710735198e-11,-7.090350084837382e-09,7.50382145309203e-10,6.927196039008265e-10,1.8770000236435855e-15
dp.rf.rf\[31\]\[20\]$_DFFE_PP_/D,264630,88570,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,dp.rf.rf\[31\]\[20\]$_DFFE_PP_,_00783_,1.4847978402343642e-10,-6.7690031357869884e-09,7.409654667611676e-09,7.87245735267561e-09,1.6809999877807295e-15
dp.rf.rf\[31\]\[20\]$_DFFE_PP_/Q,270233,88573,0,-1,0,0,1,1.6205798909849772e-13,1.4979509854740058e-09,0,dp.rf.rf\[31\]\[20\]$_DFFE_PP_,dp.rf.rf\[31\]\[20\],8.580366972488207e-11,-5.3904778418711885e-09,1.1279344125370017e-09,1.1051916048998578e-09,-1
dp.rf.rf\[31\]\[20\]$_DFFE_PP_/CLK,263385,88460,1,-1,1,0,0,0.0,1.4999999020659516e-09,0,dp.rf.rf\[31\]\[20\]$_DFFE_PP_,clknet_leaf_74_clk,6.054381995745928e-11,-5.3904778418711885e-09,7.877792307375842e-10,7.15935921657973e-10,1.8770000236435855e-15
dp.rf.rf\[31\]\[21\]$_DFFE_PP_/D,210350,80070,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,dp.rf.rf\[31\]\[21\]$_DFFE_PP_,_00784_,1.591380777155038e-10,-6.212385272874599e-09,7.073133190260705e-09,7.3539467848604545e-09,1.6809999877807295e-15
dp.rf.rf\[31\]\[21\]$_DFFE_PP_/Q,215953,80066,0,-1,0,0,1,1.6205798909849772e-13,1.4979509854740058e-09,0,dp.rf.rf\[31\]\[21\]$_DFFE_PP_,dp.rf.rf\[31\]\[21\],1.0451040727277316e-10,-5.5752575889300715e-09,1.1387865095358052e-09,1.1098989505242685e-09,-1
dp.rf.rf\[31\]\[21\]$_DFFE_PP_/CLK,209105,80180,1,-1,1,0,0,0.0,1.4999999020659516e-09,0,dp.rf.rf\[31\]\[21\]$_DFFE_PP_,clknet_leaf_72_clk,5.7658135210747474e-11,-5.5752575889300715e-09,7.858116379821922e-10,7.148360792186281e-10,1.8770000236435855e-15
dp.rf.rf\[31\]\[22\]$_DFFE_PP_/D,210350,230010,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,dp.rf.rf\[31\]\[22\]$_DFFE_PP_,_00785_,1.0234330743985609e-10,-6.563961818528696e-09,7.177795691148958e-09,7.578426775012304e-09,1.6809999877807295e-15
dp.rf.rf\[31\]\[22\]$_DFFE_PP_/Q,215953,230013,0,-1,0,0,1,1.6205798909849772e-13,1.4979509854740058e-09,0,dp.rf.rf\[31\]\[22\]$_DFFE_PP_,dp.rf.rf\[31\]\[22\],1.0921057114199328e-10,-5.43173062084179e-09,1.0440261988264865e-09,1.013633399438163e-09,-1
dp.rf.rf\[31\]\[22\]$_DFFE_PP_/CLK,209105,229900,1,-1,1,0,0,0.0,1.4999999020659516e-09,0,dp.rf.rf\[31\]\[22\]$_DFFE_PP_,clknet_leaf_42_clk,5.754618656594879e-11,-5.43173062084179e-09,6.877405311911389e-10,6.515727957179251e-10,1.8770000236435855e-15
dp.rf.rf\[31\]\[23\]$_DFFE_PP_/D,176770,240890,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,dp.rf.rf\[31\]\[23\]$_DFFE_PP_,_00786_,5.9252068529414e-11,-6.1655711647290445e-09,7.244531641248386e-09,7.397115808771559e-09,1.6809999877807295e-15
dp.rf.rf\[31\]\[23\]$_DFFE_PP_/Q,182373,240893,0,-1,0,0,1,1.6205798909849772e-13,1.4979509854740058e-09,0,dp.rf.rf\[31\]\[23\]$_DFFE_PP_,dp.rf.rf\[31\]\[23\],9.178709875490298e-11,-5.307851047575696e-09,1.0219289858781622e-09,9.975018588903595e-10,-1
dp.rf.rf\[31\]\[23\]$_DFFE_PP_/CLK,175525,240780,1,-1,1,0,0,0.0,1.4999999020659516e-09,0,dp.rf.rf\[31\]\[23\]$_DFFE_PP_,clknet_leaf_41_clk,4.954579455040964e-11,-5.3078514916649056e-09,6.812306274639468e-10,6.465198376659487e-10,1.8770000236435855e-15
dp.rf.rf\[31\]\[24\]$_DFFE_PP_/D,185510,202810,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,dp.rf.rf\[31\]\[24\]$_DFFE_PP_,_00787_,1.1386588893991245e-10,-6.615324732450745e-09,7.233789123262113e-09,7.632541709767793e-09,1.6809999877807295e-15
dp.rf.rf\[31\]\[24\]$_DFFE_PP_/Q,191113,202813,0,-1,0,0,1,1.6205798909849772e-13,1.4979509854740058e-09,0,dp.rf.rf\[31\]\[24\]$_DFFE_PP_,dp.rf.rf\[31\]\[24\],9.218887458972702e-11,-5.2388378080081566e-09,1.036767005579975e-09,1.011860928379349e-09,-1
dp.rf.rf\[31\]\[24\]$_DFFE_PP_/CLK,184265,202700,1,-1,1,0,0,0.0,1.4999999020659516e-09,0,dp.rf.rf\[31\]\[24\]$_DFFE_PP_,clknet_leaf_12_clk,6.100865646008202e-11,-5.2388378080081566e-09,6.914951944381187e-10,6.54322651616468e-10,1.8770000236435855e-15
dp.rf.rf\[31\]\[25\]$_DFFE_PP_/D,265550,20230,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,dp.rf.rf\[31\]\[25\]$_DFFE_PP_,_00788_,1.491020362731632e-10,-6.251337669738177e-09,6.976500710464961e-09,7.479462382775637e-09,1.6809999877807295e-15
